iter	lnL	lnPr	TL	omega-0	piAAA-0	piAAC-0	piAAG-0	piAAT-0	piACA-0	piACC-0	piACG-0	piACT-0	piAGA-0	piAGC-0	piAGG-0	piAGT-0	piATA-0	piATC-0	piATG-0	piATT-0	piCAA-0	piCAC-0	piCAG-0	piCAT-0	piCCA-0	piCCC-0	piCCG-0	piCCT-0	piCGA-0	piCGC-0	piCGG-0	piCGT-0	piCTA-0	piCTC-0	piCTG-0	piCTT-0	piGAA-0	piGAC-0	piGAG-0	piGAT-0	piGCA-0	piGCC-0	piGCG-0	piGCT-0	piGGA-0	piGGC-0	piGGG-0	piGGT-0	piGTA-0	piGTC-0	piGTG-0	piGTT-0	piTAC-0	piTAT-0	piTCA-0	piTCC-0	piTCG-0	piTCT-0	piTGC-0	piTGG-0	piTGT-0	piTTA-0	piTTC-0	piTTG-0	piTTT-0	
0	-6301.68692	188.57817	1.74929	0.05000	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	0.01639	
2	-6253.57667	188.59655	1.74929	0.03162	0.02348	0.01810	0.01954	0.01696	0.01798	0.01922	0.01404	0.02175	0.01583	0.01745	0.01949	0.02670	0.01367	0.01912	0.01953	0.01761	0.01106	0.01354	0.01451	0.01293	0.01711	0.01306	0.01893	0.02040	0.01085	0.01129	0.00979	0.01432	0.01326	0.00969	0.01663	0.00757	0.02024	0.02545	0.02227	0.02103	0.01821	0.01700	0.01513	0.01688	0.01899	0.01434	0.01221	0.01374	0.01402	0.00816	0.01013	0.01813	0.01706	0.01507	0.02305	0.01951	0.01677	0.00969	0.01759	0.01931	0.01412	0.02018	0.01648	0.01456	0.01530	
4	-6253.57667	188.59655	1.74929	0.03162	0.02348	0.01810	0.01954	0.01696	0.01798	0.01922	0.01404	0.02175	0.01583	0.01745	0.01949	0.02670	0.01367	0.01912	0.01953	0.01761	0.01106	0.01354	0.01451	0.01293	0.01711	0.01306	0.01893	0.02040	0.01085	0.01129	0.00979	0.01432	0.01326	0.00969	0.01663	0.00757	0.02024	0.02545	0.02227	0.02103	0.01821	0.01700	0.01513	0.01688	0.01899	0.01434	0.01221	0.01374	0.01402	0.00816	0.01013	0.01813	0.01706	0.01507	0.02305	0.01951	0.01677	0.00969	0.01759	0.01931	0.01412	0.02018	0.01648	0.01456	0.01530	
6	-6253.51591	188.59553	1.74929	0.03265	0.02348	0.01810	0.01954	0.01696	0.01798	0.01922	0.01404	0.02175	0.01583	0.01745	0.01949	0.02670	0.01367	0.01912	0.01953	0.01761	0.01106	0.01354	0.01451	0.01293	0.01711	0.01306	0.01893	0.02040	0.01085	0.01129	0.00979	0.01432	0.01326	0.00969	0.01663	0.00757	0.02024	0.02545	0.02227	0.02103	0.01821	0.01700	0.01513	0.01688	0.01899	0.01434	0.01221	0.01374	0.01402	0.00816	0.01013	0.01813	0.01706	0.01507	0.02305	0.01951	0.01677	0.00969	0.01759	0.01931	0.01412	0.02018	0.01648	0.01456	0.01530	
8	-6246.79254	188.59808	1.74929	0.03009	0.02388	0.01691	0.01524	0.01306	0.01681	0.01041	0.01116	0.01487	0.01140	0.01703	0.01723	0.02552	0.01159	0.03665	0.02027	0.02057	0.00962	0.01631	0.02195	0.01425	0.01815	0.01332	0.01831	0.02021	0.00720	0.01123	0.00717	0.01592	0.01447	0.01224	0.01231	0.00795	0.01925	0.02344	0.02658	0.01690	0.01504	0.01697	0.01337	0.01232	0.01787	0.01145	0.01011	0.01704	0.01438	0.00876	0.01365	0.01908	0.01924	0.02074	0.02361	0.02100	0.02007	0.01591	0.01530	0.02399	0.01432	0.01880	0.01774	0.01623	0.01361	
10	-6247.86990	188.60015	1.74929	0.02803	0.02388	0.01691	0.01524	0.01306	0.01681	0.01041	0.01116	0.01487	0.01140	0.01703	0.01723	0.02552	0.01159	0.03665	0.02027	0.02057	0.00962	0.01631	0.02195	0.01425	0.01815	0.01332	0.01831	0.02021	0.00720	0.01123	0.00717	0.01592	0.01447	0.01224	0.01231	0.00795	0.01925	0.02344	0.02658	0.01690	0.01504	0.01697	0.01337	0.01232	0.01787	0.01145	0.01011	0.01704	0.01438	0.00876	0.01365	0.01908	0.01924	0.02074	0.02361	0.02100	0.02007	0.01591	0.01530	0.02399	0.01432	0.01880	0.01774	0.01623	0.01361	
12	-6247.86990	188.60015	1.74929	0.02803	0.02388	0.01691	0.01524	0.01306	0.01681	0.01041	0.01116	0.01487	0.01140	0.01703	0.01723	0.02552	0.01159	0.03665	0.02027	0.02057	0.00962	0.01631	0.02195	0.01425	0.01815	0.01332	0.01831	0.02021	0.00720	0.01123	0.00717	0.01592	0.01447	0.01224	0.01231	0.00795	0.01925	0.02344	0.02658	0.01690	0.01504	0.01697	0.01337	0.01232	0.01787	0.01145	0.01011	0.01704	0.01438	0.00876	0.01365	0.01908	0.01924	0.02074	0.02361	0.02100	0.02007	0.01591	0.01530	0.02399	0.01432	0.01880	0.01774	0.01623	0.01361	
14	-6249.06980	188.59033	1.74929	0.03785	0.02388	0.01691	0.01524	0.01306	0.01681	0.01041	0.01116	0.01487	0.01140	0.01703	0.01723	0.02552	0.01159	0.03665	0.02027	0.02057	0.00962	0.01631	0.02195	0.01425	0.01815	0.01332	0.01831	0.02021	0.00720	0.01123	0.00717	0.01592	0.01447	0.01224	0.01231	0.00795	0.01925	0.02344	0.02658	0.01690	0.01504	0.01697	0.01337	0.01232	0.01787	0.01145	0.01011	0.01704	0.01438	0.00876	0.01365	0.01908	0.01924	0.02074	0.02361	0.02100	0.02007	0.01591	0.01530	0.02399	0.01432	0.01880	0.01774	0.01623	0.01361	
16	-6228.06977	188.59920	1.74929	0.02897	0.02254	0.01946	0.02062	0.00943	0.01458	0.01230	0.00702	0.01524	0.00749	0.01564	0.02406	0.02524	0.01170	0.03366	0.01977	0.01845	0.00990	0.01914	0.01321	0.01324	0.01495	0.01141	0.01865	0.02147	0.01230	0.00887	0.00904	0.01122	0.01442	0.01147	0.01097	0.00769	0.02318	0.02549	0.02614	0.02406	0.01229	0.01280	0.01594	0.01684	0.02302	0.01081	0.01186	0.02366	0.01766	0.01109	0.01139	0.01427	0.02033	0.02046	0.02428	0.01759	0.01952	0.01065	0.01536	0.02177	0.01474	0.02048	0.02173	0.01474	0.01270	
18	-6225.49875	188.59694	1.74929	0.03123	0.02267	0.02576	0.01701	0.00885	0.01726	0.01668	0.00357	0.01498	0.00720	0.01794	0.02223	0.02044	0.01325	0.03340	0.01582	0.01556	0.00991	0.01931	0.01623	0.01433	0.01842	0.01463	0.01437	0.02548	0.00802	0.00908	0.01003	0.01144	0.01415	0.01535	0.01001	0.00753	0.02968	0.02263	0.02064	0.02449	0.01055	0.01626	0.01966	0.02298	0.01945	0.01272	0.01076	0.02560	0.01526	0.01068	0.01173	0.01066	0.01960	0.02052	0.02153	0.01760	0.01854	0.00775	0.01315	0.01718	0.01863	0.01605	0.01958	0.01733	0.01789	
20	-6226.44101	188.59388	1.74929	0.03429	0.02267	0.02576	0.01701	0.00885	0.01726	0.01668	0.00357	0.01498	0.00720	0.01794	0.02223	0.02044	0.01325	0.03340	0.01582	0.01556	0.00991	0.01931	0.01623	0.01433	0.01842	0.01463	0.01437	0.02548	0.00802	0.00908	0.01003	0.01144	0.01415	0.01535	0.01001	0.00753	0.02968	0.02263	0.02064	0.02449	0.01055	0.01626	0.01966	0.02298	0.01945	0.01272	0.01076	0.02560	0.01526	0.01068	0.01173	0.01066	0.01960	0.02052	0.02153	0.01760	0.01854	0.00775	0.01315	0.01718	0.01863	0.01605	0.01958	0.01733	0.01789	
22	-6227.35269	188.59244	1.74929	0.03574	0.02267	0.02576	0.01701	0.00885	0.01726	0.01668	0.00357	0.01498	0.00720	0.01794	0.02223	0.02044	0.01325	0.03340	0.01582	0.01556	0.00991	0.01931	0.01623	0.01433	0.01842	0.01463	0.01437	0.02548	0.00802	0.00908	0.01003	0.01144	0.01415	0.01535	0.01001	0.00753	0.02968	0.02263	0.02064	0.02449	0.01055	0.01626	0.01966	0.02298	0.01945	0.01272	0.01076	0.02560	0.01526	0.01068	0.01173	0.01066	0.01960	0.02052	0.02153	0.01760	0.01854	0.00775	0.01315	0.01718	0.01863	0.01605	0.01958	0.01733	0.01789	
24	-6227.35269	188.59244	1.74929	0.03574	0.02267	0.02576	0.01701	0.00885	0.01726	0.01668	0.00357	0.01498	0.00720	0.01794	0.02223	0.02044	0.01325	0.03340	0.01582	0.01556	0.00991	0.01931	0.01623	0.01433	0.01842	0.01463	0.01437	0.02548	0.00802	0.00908	0.01003	0.01144	0.01415	0.01535	0.01001	0.00753	0.02968	0.02263	0.02064	0.02449	0.01055	0.01626	0.01966	0.02298	0.01945	0.01272	0.01076	0.02560	0.01526	0.01068	0.01173	0.01066	0.01960	0.02052	0.02153	0.01760	0.01854	0.00775	0.01315	0.01718	0.01863	0.01605	0.01958	0.01733	0.01789	
26	-6226.14161	188.59449	1.74929	0.03368	0.02267	0.02576	0.01701	0.00885	0.01726	0.01668	0.00357	0.01498	0.00720	0.01794	0.02223	0.02044	0.01325	0.03340	0.01582	0.01556	0.00991	0.01931	0.01623	0.01433	0.01842	0.01463	0.01437	0.02548	0.00802	0.00908	0.01003	0.01144	0.01415	0.01535	0.01001	0.00753	0.02968	0.02263	0.02064	0.02449	0.01055	0.01626	0.01966	0.02298	0.01945	0.01272	0.01076	0.02560	0.01526	0.01068	0.01173	0.01066	0.01960	0.02052	0.02153	0.01760	0.01854	0.00775	0.01315	0.01718	0.01863	0.01605	0.01958	0.01733	0.01789	
28	-6226.14161	188.59449	1.74929	0.03368	0.02267	0.02576	0.01701	0.00885	0.01726	0.01668	0.00357	0.01498	0.00720	0.01794	0.02223	0.02044	0.01325	0.03340	0.01582	0.01556	0.00991	0.01931	0.01623	0.01433	0.01842	0.01463	0.01437	0.02548	0.00802	0.00908	0.01003	0.01144	0.01415	0.01535	0.01001	0.00753	0.02968	0.02263	0.02064	0.02449	0.01055	0.01626	0.01966	0.02298	0.01945	0.01272	0.01076	0.02560	0.01526	0.01068	0.01173	0.01066	0.01960	0.02052	0.02153	0.01760	0.01854	0.00775	0.01315	0.01718	0.01863	0.01605	0.01958	0.01733	0.01789	
30	-6226.14161	188.59449	1.74929	0.03368	0.02267	0.02576	0.01701	0.00885	0.01726	0.01668	0.00357	0.01498	0.00720	0.01794	0.02223	0.02044	0.01325	0.03340	0.01582	0.01556	0.00991	0.01931	0.01623	0.01433	0.01842	0.01463	0.01437	0.02548	0.00802	0.00908	0.01003	0.01144	0.01415	0.01535	0.01001	0.00753	0.02968	0.02263	0.02064	0.02449	0.01055	0.01626	0.01966	0.02298	0.01945	0.01272	0.01076	0.02560	0.01526	0.01068	0.01173	0.01066	0.01960	0.02052	0.02153	0.01760	0.01854	0.00775	0.01315	0.01718	0.01863	0.01605	0.01958	0.01733	0.01789	
